Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,79,74,57,42,29,25,22,20,21,10,19,31,39,53,59,66,72,81,77,68,79,85,84,79
2,75,64,63,56,35,48,23,26,-1,-1,-1,-1,50,59,68,64,68,66,75,71,70,64,74,88
3,54,65,52,42,39,38,-1,27,18,20,21,35,26,50,63,63,54,75,64,57,65,69,81,73
4,69,74,49,49,35,-1,-1,18,17,18,35,46,55,67,103,78,64,74,65,48,60,68,68,77
5,67,47,52,31,35,25,12,19,16,19,25,25,49,49,56,75,75,82,74,65,73,82,84,90
6,58,55,41,51,35,34,20,30,14,17,22,35,38,52,69,52,70,66,55,49,80,70,57,47
7,27,31,40,22,23,24,20,11,16,16,20,30,13,43,46,59,72,65,59,68,62,59,58,60
8,47,50,34,28,32,26,16,18,17,-1,22,26,34,44,78,-1,56,51,50,55,44,74,42,43
9,40,38,40,40,22,-1,15,15,18,22,26,41,41,49,39,65,50,44,52,47,51,54,63,54
10,64,51,41,30,28,-1,-1,-1,20,17,20,34,38,38,38,59,57,41,42,50,55,55,58,42
11,60,39,38,49,27,29,16,15,19,16,27,46,34,56,50,49,45,50,74,68,62,55,52,70
12,43,56,37,39,20,21,15,18,13,25,22,19,43,46,54,70,60,71,55,74,66,62,62,52
13,63,34,24,27,10,5,-1,23,13,17,23,28,50,57,57,65,79,77,89,62,76,75,62,51
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,60,70,72,53,61,58,57,-1,-1
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
