Jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,58,40,48,-1,-1,30,24,-1,17,17,-1,30,32,55,69,-1,86,96,75,107,88,82,-1,-1,-1
2,-1,-1,-1,-1,-1,-1,-1,16,13,17,15,18,-1,43,-1,81,66,53,57,65,93,103,80,-1,-1
3,39,20,-1,15,18,31,20,26,10,11,14,30,29,61,80,70,64,65,64,68,72,62,69,65
4,-1,-1,-1,-1,-1,-1,-1,12,12,14,-1,-1,29,42,65,75,73,62,58,88,75,68,58,94
5,-1,-1,-1,-1,-1,-1,-1,-1,2,7,13,27,35,52,67,63,77,54,54,68,72,88,-1,44
6,42,16,-1,12,14,19,10,18,-1,-1,-1,30,36,60,62,81,63,56,65,85,71,79,72,51
7,-1,-1,-1,-1,9,12,12,10,12,8,9,20,39,45,65,71,83,52,34,69,53,49,58,47
8,-1,-1,24,-1,17,-1,-1,17,13,10,12,31,29,48,67,82,65,63,42,41,58,61,63,62
9,78,-1,38,20,13,21,11,6,6,7,17,25,33,58,51,61,64,52,44,59,58,63,57,-1,-1
10,55,30,14,10,15,13,5,16,7,7,10,6,17,40,70,73,76,51,50,65,66,52,58,37
11,18,22,22,-1,-1,15,-1,24,8,14,19,20,33,53,39,36,56,28,31,25,45,41,39,44
12,-1,-1,-1,-1,-1,26,14,22,-1,-1,14,28,38,50,86,37,47,62,33,36,49,52,58,46
13,-1,43,12,-1,12,19,18,14,12,18,11,27,34,56,85,82,83,73,74,76,66,72,77,83
14,-1,-1,12,14,12,11,16,-1,-1,-1,-1,22,49,60,67,67,55,46,63,70,93,64,56,35
15,36,-1,14,17,12,9,15,12,6,8,19,21,49,67,45,69,61,62,46,53,71,59,35,31
16,48,-1,9,10,8,13,20,11,-1,-1,14,21,48,42,74,65,73,58,49,61,64,46,55,37
17,-1,-1,-1,-1,-1,-1,11,14,10,11,13,21,37,40,51,95,75,49,63,81,62,53,61,80
18,32,35,14,17,6,7,13,11,10,10,27,34,36,39,49,60,78,44,54,54,52,44,38,50
19,-1,-1,-1,13,10,15,9,12,10,8,22,28,41,70,73,98,70,42,58,48,52,36,44,22
20,-1,-1,-1,8,14,9,10,8,1,15,16,22,43,65,66,75,63,56,42,53,56,51,60,-1,-1
21,25,16,-1,-1,14,12,13,7,11,-1,16,16,34,64,92,86,89,63,56,57,48,65,39,40
22,27,22,9,11,11,13,11,14,12,11,17,35,40,72,85,82,84,62,76,64,78,61,60,-1,-1
23,-1,-1,-1,12,13,12,-1,5,13,-1,-1,-1,48,66,-1,87,72,77,54,74,43,48,46,36
24,-1,-1,14,-1,13,8,5,6,11,10,-1,16,-1,87,101,71,97,89,67,82,64,76,53,31
25,-1,26,11,7,7,7,8,13,11,6,22,25,57,102,96,105,82,80,78,82,65,40,44,-1,-1
26,13,5,15,11,11,7,5,10,5,8,-1,-1,-1,-1,-1,120,110,99,101,55,61,44,48,-1,-1
27,28,30,21,12,9,17,13,8,12,6,-1,19,53,89,109,152,147,132,80,89,107,56,49,49
28,-1,27,19,6,14,15,7,11,11,14,-1,24,65,124,159,149,117,108,79,113,76,59,59,35
29,-1,-1,-1,10,5,12,11,9,3,-1,-1,-1,68,101,133,190,179,144,-1,-1,68,-1,28,20
30,30,15,14,12,6,11,12,6,11,14,12,18,60,84,150,144,113,125,96,103,89,64,63,42
31,28,14,11,3,11,7,8,8,13,14,23,32,68,104,122,130,122,114,64,80,76,58,44,29
