Jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,150,187,198,185,160,199,144,-1,143,175,177,144,-1,-1,55,45,28,59,58,90,22,-1,-1
2,-1,-1,205,230,221,244,243,241,168,196,148,156,128,90,72,56,49,31,67,46,94,105,22,-1,-1
3,-1,-1,158,272,252,294,290,236,238,263,184,184,129,118,106,68,52,61,41,68,73,113,29,22
4,19,17,14,138,336,305,256,318,271,180,161,136,143,87,61,44,-1,36,-1,-1,-1,-1,28,-1,-1
5,-1,-1,246,273,311,309,281,-1,-1,184,138,160,135,126,78,47,49,33,36,59,88,117,38,-1,-1
6,-1,-1,216,287,296,287,260,-1,-1,172,162,149,121,74,92,41,30,40,35,58,78,79,54,-1,-1
7,-1,-1,226,296,265,240,315,225,145,207,172,176,165,112,89,91,60,67,57,70,112,135,28,-1,-1
8,-1,-1,260,355,340,297,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,-1,-1,-1,-1
9,-1,-1,208,206,245,230,202,170,-1,-1,127,121,99,-1,-1,-1,-1,-1,-1,48,66,61,18,-1,-1
10,-1,-1,143,220,181,204,-1,-1,-1,-1,134,-1,-1,78,69,47,50,-1,-1,-1,106,121,34,3
11,-1,-1,20,105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,122,21,-1,-1
12,-1,-1,226,323,299,231,235,224,138,163,146,150,-1,-1,-1,58,47,-1,34,78,99,123,34,-1,-1
13,-1,-1,157,262,239,242,176,191,157,138,134,109,128,96,70,56,55,51,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,87,-1,105,110,147,153,35,-1,-1
15,-1,5,217,295,295,274,282,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1
16,-1,-1,188,229,250,221,182,199,-1,-1,-1,-1,-1,-1,-1,73,61,83,53,47,94,122,22,-1,-1
17,-1,-1,149,264,242,242,207,208,164,184,136,113,112,82,96,-1,-1,-1,61,110,121,131,21,7
18,11,12,15,113,221,250,226,324,190,209,173,172,138,112,68,-1,-1,40,53,73,99,131,30,-1,-1
19,-1,-1,190,237,272,331,246,226,236,-1,140,177,114,104,78,68,76,44,76,93,132,150,34,3
20,-1,-1,194,262,222,248,191,168,128,125,145,110,132,120,91,76,-1,81,88,112,117,118,16,-1,-1
21,-1,-1,165,192,217,192,170,200,144,132,142,112,88,-1,-1,-1,-1,58,66,98,117,125,32,-1,-1
22,-1,-1,-1,236,227,166,-1,-1,-1,-1,-1,141,130,99,84,50,47,57,39,85,111,162,-1,-1,-1
23,-1,-1,240,340,350,95,99,129,58,-1,114,-1,124,97,87,62,72,-1,-1,-1,-1,56,32,2
24,-1,-1,224,360,316,311,235,252,121,-1,-1,131,102,88,78,54,77,79,75,74,125,161,40,12
25,10,22,28,142,346,252,210,139,121,136,98,112,141,58,42,35,38,14,46,39,46,35,8,-1,-1
26,-1,-1,145,266,108,217,177,136,99,-1,106,-1,-1,-1,40,35,36,39,62,79,80,62,17,-1,-1
27,-1,-1,198,-1,400,277,177,89,95,115,100,57,54,137,40,80,41,40,50,57,92,112,29,-1,-1
28,-1,-1,281,312,270,185,113,181,133,-1,116,119,71,76,41,77,23,26,41,76,104,87,20,-1,-1
29,-1,-1,216,240,270,190,171,148,124,151,113,117,90,53,37,35,23,17,35,34,76,69,20,-1,-1
30,-1,-1,160,242,168,82,61,84,50,-1,58,26,-1,-1,18,37,20,-1,-1,-1,-1,71,18,-1,-1
31,-1,-1,118,165,163,146,117,64,54,76,42,88,39,24,30,32,22,-1,32,25,61,50,16,4
