Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,26,19,-1,8,19,12,14,-1,14,18,12,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,37,32
2,28,-1,-1,2,12,17,19,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,-1,48,39,36
3,18,21,8,18,11,14,20,15,11,10,19,16,52,52,55,-1,-1,-1,-1,-1,-1,-1,-1,39
4,27,-1,-1,28,16,12,18,18,-1,4,17,21,28,54,68,51,36,39,43,46,48,39,44,36
5,29,25,25,6,17,17,17,18,10,9,-1,-1,34,47,-1,-1,-1,-1,-1,-1,-1,-1,37,46
6,16,23,12,19,13,18,16,10,10,-1,-1,20,43,62,42,-1,-1,31,23,35,43,46,-1,-1,-1
7,32,-1,17,19,14,17,19,14,17,-1,-1,-1,36,-1,46,51,41,52,48,44,42,44,37,34
8,26,20,22,14,17,17,26,11,9,16,-1,26,39,49,47,46,46,40,45,47,36,42,-1,-1,-1
9,25,25,17,11,15,14,19,14,12,9,14,14,20,39,35,63,67,-1,28,36,-1,-1,-1,36
10,29,15,12,20,11,15,12,21,8,-1,14,21,35,54,-1,45,31,38,38,41,42,41,39,35
11,31,-1,21,11,24,27,11,12,-1,16,14,31,38,44,69,-1,-1,-1,-1,-1,-1,-1,55,37
12,69,41,27,25,25,17,18,13,6,9,18,26,27,58,65,75,60,49,60,59,79,77,59,50
13,43,31,31,30,11,14,19,9,10,15,20,26,23,38,47,45,56,61,47,48,66,56,70,62
14,-1,-1,23,30,24,20,-1,-1,12,19,28,32,41,46,62,45,45,43,34,50,53,51,58,54
15,24,27,21,15,16,12,11,14,8,13,23,27,36,40,47,58,48,48,50,53,48,47,35,34
16,30,11,25,21,17,12,11,16,17,15,33,26,39,46,42,50,35,42,36,33,43,38,36,43
17,30,21,18,18,24,23,22,15,15,15,14,31,26,43,39,34,36,34,48,49,38,29,42,36
18,22,16,20,16,14,19,16,-1,9,6,14,-1,36,28,39,31,32,31,35,42,37,34,25,19
19,16,-1,-1,-1,24,37,8,-1,10,3,13,18,30,34,28,37,29,38,38,36,42,44,24,26
20,15,11,6,16,-1,13,8,-1,-1,11,12,-1,-1,-1,23,31,33,15,31,24,29,30,16,25
21,-1,5,15,12,11,15,19,17,11,10,10,-1,-1,-1,-1,26,24,23,22,24,29,31,28,22
22,10,18,9,10,14,16,13,11,11,11,8,14,16,26,21,33,27,32,30,33,36,24,20,-1,-1
23,25,6,-1,-1,-1,-1,-1,-1,15,5,16,27,29,28,27,33,25,24,25,41,36,35,39,22
24,-1,-1,-1,-1,-1,-1,8,11,7,15,4,-1,-1,-1,-1,32,30,29,25,22,32,29,34,32
25,-1,-1,11,14,-1,-1,-1,-1,13,9,16,20,19,-1,28,-1,-1,36,24,36,39,32,33,-1,-1
26,17,-1,-1,-1,-1,-1,22,17,12,10,10,23,27,27,35,30,24,9,-1,-1,-1,-1,32,22
27,-1,12,5,9,13,-1,-1,18,11,10,15,19,25,-1,21,21,28,27,33,36,42,38,38,30
28,-1,-1,-1,-1,15,15,9,9,10,10,10,20,-1,18,15,16,20,34,34,37,31,25,37,32
29,-1,-1,-1,12,7,-1,10,10,11,-1,-1,-1,-1,-1,20,17,29,26,29,33,30,32,24,23
30,20,-1,14,16,9,16,16,14,6,-1,-1,-1,28,26,30,25,18,23,26,48,38,25,29,25
31,28,10,14,12,11,11,12,13,8,6,11,19,21,24,22,26,24,23,21,22,39,20,15,17
