May,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,20,13,11,10,-1,-1,-1,7,10,3,9,7,6,13,9,10,16,14,16,17,34,32,28,32
2,-1,16,-1,-1,18,14,14,-1,-1,-1,-1,7,6,14,12,9,18,11,24,28,29,30,33,22
3,19,20,17,17,13,13,11,9,3,5,3,7,9,9,16,11,11,10,26,34,29,-1,-1,23
4,16,24,18,16,12,18,9,14,6,4,8,14,9,11,19,9,14,14,11,22,19,29,27,25
5,24,17,18,-1,12,13,6,5,3,6,4,12,9,8,14,17,25,12,19,20,34,38,35,25
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,8,12,16,22,12,19,14,-1,-1,-1,-1,-1,-1,-1
7,29,-1,15,13,23,14,10,10,5,3,14,10,15,10,14,20,28,13,20,29,21,32,30,21
8,22,15,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,14,22,27,23,26,50,35,25
9,20,-1,-1,-1,-1,-1,-1,-1,11,6,3,9,13,13,10,20,13,15,21,34,30,26,20,23
10,21,34,16,21,13,19,19,9,6,9,12,12,15,14,26,13,8,12,11,24,38,31,39,23
11,25,23,19,-1,-1,-1,-1,-1,-1,5,7,11,13,11,19,20,20,22,22,26,36,34,37,31
12,29,16,14,-1,-1,16,10,9,-1,5,7,9,19,13,10,19,18,16,32,23,34,21,28,19
13,12,-1,-1,-1,-1,-1,-1,-1,-1,6,5,7,10,16,11,18,11,16,14,29,21,31,28,21
14,-1,-1,-1,-1,-1,-1,-1,-1,6,5,6,8,11,11,16,9,16,14,8,24,21,29,20,22
15,25,16,20,18,22,17,17,6,10,-1,-1,16,23,16,24,10,14,9,9,11,27,27,33,20
16,19,-1,12,-1,-1,-1,14,7,6,8,8,10,14,18,8,13,28,21,19,23,30,23,20,29
17,13,7,20,13,9,18,15,10,6,6,8,10,11,14,12,7,23,16,10,20,23,28,29,25
18,21,-1,13,15,14,9,5,7,7,5,11,9,13,19,22,15,11,18,17,17,18,28,29,21
19,24,17,16,13,16,12,12,7,4,9,8,8,11,16,18,16,20,15,17,19,36,34,28,22
20,-1,22,13,-1,-1,-1,-1,-1,-1,9,5,8,11,19,22,22,20,19,20,23,24,32,18,20
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,8,17,15,21,11,13,17,14,24,29,19,25,15
22,14,-1,-1,-1,-1,-1,9,6,10,2,8,6,7,12,11,19,24,15,14,24,14,22,21,16
23,19,11,16,12,-1,-1,-1,-1,6,8,5,8,9,16,16,12,16,18,13,17,24,21,21,27
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,20,16,16,14,16,24,18,19,26,23,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,20,23,20,20,16,14,27,20,23,17,28
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,8,15,8,12,15,11,15,13,18,22,22,29,19
27,25,-1,-1,-1,-1,-1,-1,8,5,4,5,10,11,18,17,19,21,18,23,26,20,31,19,23
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,12,17,17,15,14,20,23,20,28,32,25,17,33
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,9,13,11,9,11,14,17,16,18,24,30,32,27,34
30,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,9,16,16,17,16,28,24,19,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,11,18,18,18,15,17,23,20,26,-1,-1,-1
