Jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,1,8,2,1,-1,3,8,5,3,2,2,17,-1,3,3,-1,2,8,9,10,7,18,48,2
2,1,-1,-1,-1,13,15,-1,9,5,9,1,2,2,2,2,8,14,5,6,17,8,5,10,7
3,-1,-1,-1,-1,6,5,6,1,5,2,22,32,-1,-1,1,-1,-1,-1,2,-1,3,2,1,4
4,-1,3,45,32,41,76,-1,96,46,7,3,2,1,1,8,3,3,7,21,42,3,5,3,-1,-1
5,2,3,41,28,52,26,22,-1,3,3,12,4,4,1,-1,3,1,10,5,-1,3,7,4,1
6,2,-1,-1,2,2,-1,1,12,1,1,2,2,-1,-1,-1,-1,9,-1,1,22,45,4,22,42
7,11,1,-1,1,14,6,-1,2,56,7,6,3,2,-1,4,-1,1,1,10,4,36,74,21,72
8,27,-1,2,-1,16,19,22,26,45,7,-1,3,-1,-1,2,6,6,1,35,10,4,30,25,6
9,16,3,-1,-1,6,18,24,22,39,20,6,28,19,13,2,3,-1,4,11,4,2,10,2,25
10,5,-1,3,2,1,2,1,10,-1,6,4,-1,15,-1,1,3,1,17,4,4,20,23,24,4
11,-1,-1,-1,-1,-1,3,-1,12,4,1,5,5,-1,-1,1,2,-1,-1,-1,5,-1,30,8,-1,-1
12,5,-1,-1,-1,24,-1,46,61,7,11,8,3,-1,-1,-1,-1,1,-1,13,7,13,11,33,2
13,3,-1,-1,-1,7,25,17,25,-1,-1,-1,4,-1,-1,2,-1,2,3,6,-1,30,34,9,3
14,13,58,49,16,50,22,22,11,23,16,-1,17,6,-1,-1,1,-1,24,49,107,35,17,31,31
15,1,1,1,4,1,5,37,59,2,-1,1,-1,-1,7,1,4,56,65,20,37,114,39,38,85
16,48,7,15,15,12,20,17,-1,2,-1,4,-1,1,4,2,2,19,3,48,149,42,67,63,1
17,9,-1,2,3,-1,-1,-1,2,1,56,61,1,11,1,1,10,36,6,2,4,41,32,4,14
18,18,9,2,7,88,241,107,1,6,8,1,1,1,6,2,3,2,5,9,1,1,1,18,4
19,29,6,1,3,17,-1,-1,20,1,-1,-1,2,2,2,-1,-1,-1,4,-1,10,12,47,14,29
20,6,1,1,2,27,1,-1,-1,-1,5,18,21,12,44,2,1,1,12,1,4,-1,13,55,6
21,-1,-1,4,10,26,37,2,-1,4,-1,7,1,3,2,-1,10,4,1,1,28,21,22,39,9
22,1,3,20,27,55,4,-1,-1,-1,6,-1,1,1,1,-1,-1,-1,2,48,112,15,4,3,7
23,22,14,25,27,53,-1,3,3,5,3,4,4,1,8,2,4,2,5,4,1,6,1,9,4
24,10,5,-1,1,1,4,37,1,50,5,3,-1,1,2,-1,4,-1,28,19,1,17,3,1,5
25,19,11,13,3,1,1,9,3,6,12,4,24,1,2,-1,-1,3,34,42,7,6,23,9,75
26,13,1,20,6,7,5,16,2,32,-1,7,5,-1,2,2,1,-1,-1,1,4,3,-1,37,18
27,9,19,-1,3,9,1,-1,4,11,6,1,-1,-1,1,10,1,-1,-1,1,21,13,55,31,8
28,-1,-1,7,-1,10,2,2,7,2,2,2,-1,-1,-1,-1,-1,1,1,2,1,29,64,6,4
29,-1,-1,1,-1,-1,4,6,4,2,2,3,1,2,-1,-1,2,4,1,3,-1,13,3,10,1
30,-1,-1,3,-1,2,-1,2,24,120,1,7,5,15,9,3,1,1,1,1,4,2,31,66,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
