May,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,6,13,18,29,58,56,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,30,18,24
2,-1,26,36,17,28,52,67,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,47,102,-1,-1
3,-1,30,-1,-1,-1,-1,-1,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,29,24,33
4,-1,26,38,42,46,59,100,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,29,10,26
5,-1,13,5,18,33,67,83,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,10,19,20
6,-1,31,26,30,52,56,67,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,30,23,24
7,-1,16,36,41,76,125,89,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,18,22,15
8,-1,29,24,31,52,56,115,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,-1,-1,23
9,-1,18,20,36,70,59,125,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,21,24,23
10,-1,36,34,71,47,73,70,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,23,30,23
12,-1,18,21,21,36,37,76,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,11,11,15
13,-1,22,42,34,48,68,77,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,14,20,25
14,-1,22,26,26,46,56,62,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,31,26,12
15,-1,28,37,40,30,42,66,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,24,18,23
16,-1,28,50,42,44,50,49,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,18,28,16
17,-1,21,28,50,52,56,65,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,29,22,25
18,-1,34,10,21,28,56,35,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,184,30,14,9
19,-1,17,19,23,14,28,49,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,21,14,21
20,-1,15,17,29,46,47,46,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,15,6,9
21,-1,22,30,45,30,42,53,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,15,13,19
22,-1,13,31,41,36,44,49,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,17,22,13
23,-1,20,2,10,29,41,49,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,17,22,20
25,-1,37,16,23,52,53,48,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,13,13
26,-1,31,32,22,21,50,46,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,19,13,11
27,-1,18,30,33,34,13,3,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
