Dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,1,-1,-1,-1,-1,-1,-1,1
5,-1,-1,-1,3,-1,1,-1,1,1,3,1,1,3,-1,1,-1,1,1,2,3,3,2,3,1
6,-1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,3,-1,1,1,-1,3,-1,2,2,-1,1,2
7,-1,-1,-1,2,-1,-1,-1,-1,1,1,1,-1,2,-1,-1,2,2,1,-1,1,-1,1,1,1
8,-1,-1,2,2,2,-1,-1,-1,-1,-1,2,2,-1,-1,-1,4,-1,-1,1,-1,-1,2,1,1
9,1,-1,3,1,-1,-1,-1,-1,-1,-1,-1,1,-1,3,1,2,2,3,1,-1,-1,-1,2,1
10,-1,-1,-1,-1,1,1,-1,-1,1,1,2,2,-1,1,2,2,-1,1,-1,1,5,3,1,1
11,-1,1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,2,-1,3,3,-1,1,2
12,-1,1,1,-1,-1,-1,-1,-1,-1,-1,3,1,6,8,7,1,-1,-1,1,1,2,1,-1,1
13,2,2,-1,1,-1,-1,-1,1,-1,-1,3,1,5,7,11,5,5,-1,1,1,8,2,-1,3
14,3,-1,-1,-1,1,-1,-1,-1,1,2,2,5,8,17,15,4,1,-1,-1,7,9,8,6,3
15,-1,-1,1,1,-1,-1,-1,1,-1,1,3,3,-1,-1,-1,11,-1,-1,1,3,12,7,2,3
16,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,6,3,-1,-1,-1,1,1,3,4,-1,-1,-1
17,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,4,1,3,2,6,4,-1,6,2
18,1,1,1,-1,-1,1,-1,-1,-1,2,1,2,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1
19,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,2,1,-1,-1,2
20,4,3,1,-1,-1,1,-1,1,-1,3,-1,1,-1,2,3,-1,-1,-1,3,3,2,2,-1,1
21,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,2,2,2,-1,1,1,-1,2,2,-1,2,-1,-1
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,2,3,-1,2,-1,3,1,9,3,3,-1,2
23,5,4,2,2,-1,2,5,2,5,2,1,5,-1,5,3,1,2,3,6,4,7,1,-1,1
24,3,-1,2,-1,4,-1,-1,-1,-1,1,-1,3,3,2,1,7,8,7,8,4,8,3,6,3
25,2,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,2,5,3,3,12,7,5,4,3
26,-1,6,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,2,8,6,7,3,3,2
27,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,-1,3,-1,1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
