Feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,9,14,-1,18,14,14,15,16,20,17,18
2,24,27,32,31,24,25,11,10,6,10,7,8,10,10,21,10,16,12,16,21,27,22,18,19
3,34,32,21,31,23,15,17,5,4,3,11,11,15,13,16,16,21,20,30,23,24,23,27,25
4,23,22,-1,-1,-1,-1,8,-1,6,6,6,5,6,12,13,18,17,24,16,21,27,21,21,33
5,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,6,17,18,15,26,19,18,15,18,14
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,11,8,6,9,15,7,8,15,20,11,9,12,15,23
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,17,28,24,17,17,17
8,32,-1,-1,-1,-1,-1,-1,-1,-1,6,5,-1,11,4,9,8,14,12,24,15,22,24,21,14
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,8,16,17,15,17,23,18,22,15
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,4,4,6,11,2,8,16,12,20,-1,-1,22,23,-1,-1
11,32,26,26,18,20,-1,-1,7,2,10,8,14,13,9,8,13,14,19,12,20,16,18,15,19
12,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,7,9,12,11,13,13,27,16,16,20,27
13,23,-1,-1,-1,-1,-1,-1,-1,3,3,6,4,7,10,5,12,5,15,14,12,19,13,26,29
14,28,18,31,14,18,-1,-1,-1,-1,-1,-1,3,7,9,13,10,16,20,17,12,17,21,21,21
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,10,9,11,3,-1,-1,13,16,26
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,27,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,12,18,11,8,16,13,17,24,33
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,15,18,16,18,18,12,20,14,-1,-1
19,18,-1,-1,-1,-1,-1,-1,-1,-1,6,3,5,4,12,12,6,15,10,22,14,18,18,10,22
20,23,34,18,19,18,14,-1,-1,-1,7,4,5,10,-1,9,7,10,22,15,18,25,24,25,21
21,16,27,31,24,12,11,8,3,7,7,6,4,7,5,6,12,11,14,22,15,18,23,15,26
22,14,28,26,17,-1,-1,-1,-1,6,3,3,5,8,18,22,4,14,19,22,8,24,23,20,20
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,15,16,24,19,13,24,-1,-1,-1
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,11,-1,-1,-1,12,11,13,14,14,12,15,25,20,25
29,33,14,23,-1,-1,-1,14,-1,-1,-1,9,-1,-1,-1,-1,10,13,18,18,19,26,20,21,19
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
