Feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,18,2
4,-1,-1,9,52,64,43,63,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,17,11
5,-1,-1,7,44,47,30,65,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,24,4
6,-1,-1,8,52,49,56,60,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,12,1
7,-1,-1,8,56,33,43,61,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,19,2
8,-1,-1,1,13,52,50,48,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,21,3
9,-1,-1,28,36,40,48,45,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,22,5
11,-1,-1,12,39,66,47,48,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,25,1
12,-1,-1,4,32,49,45,51,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,19,1
13,-1,-1,7,46,29,41,41,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,16,-1,-1
14,-1,-1,3,32,36,51,45,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,10,5
16,-1,-1,11,36,37,43,57,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,18,3
17,1,-1,10,33,47,49,56,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,24,2
18,1,-1,3,44,30,42,49,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,15,2
20,-1,-1,4,39,39,51,59,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,14,3
21,-1,-1,14,60,38,40,44,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,26,3
22,-1,-1,1,6,31,45,45,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,10,1
23,-1,-1,2,41,49,38,34,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,19,3
24,-1,-1,-1,29,31,38,59,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,25,9
25,-1,-1,2,41,28,81,49,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,36,10
26,7,3,5,22,49,51,51,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
