Feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,60,62,35,43,23,12,14,10,-1,-1,-1,25,38,46,44,43,39,55,44,55,52,43,49,50
2,-1,64,76,41,33,26,13,18,-1,-1,-1,38,-1,-1,60,39,60,69,74,70,80,84,70,53
3,74,-1,53,-1,27,29,21,12,6,14,27,26,37,54,47,54,61,78,62,55,56,55,64,75
4,52,61,54,56,36,15,9,-1,15,14,26,29,54,56,58,52,76,52,62,66,67,62,67,75
5,-1,56,-1,-1,27,24,10,12,-1,-1,18,33,56,62,61,66,54,73,64,60,66,84,-1,47
6,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,26,36,-1,62,-1,61,73,71,64,85,82,74,68,-1,-1
7,56,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,65,66,69,72,66,69,69,67
8,-1,-1,-1,-1,23,-1,-1,11,9,17,25,48,55,47,52,38,72,75,63,86,70,63,63,84
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,48,44,85,69,70,64,83,72
10,59,64,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,59,45,51,55,70,74,85,83,59,58
11,72,53,52,28,38,16,15,10,14,21,28,29,52,49,65,61,53,46,83,71,64,69,59,74
12,59,44,52,-1,27,28,18,-1,-1,-1,-1,-1,-1,42,-1,60,50,64,65,59,67,51,58,75
13,67,42,61,-1,-1,-1,11,-1,-1,21,-1,24,36,-1,51,-1,38,59,79,72,61,67,51,66
14,70,71,41,-1,28,13,12,14,5,14,20,26,-1,42,37,41,56,51,51,69,74,60,71,70
15,45,42,38,32,21,12,14,-1,-1,-1,14,24,36,-1,62,49,32,49,52,64,53,38,32,48
16,56,66,-1,-1,-1,26,15,16,15,14,30,27,26,52,73,61,54,53,70,73,57,54,48,63
17,-1,64,48,50,26,-1,16,9,10,11,10,-1,47,37,39,44,65,49,83,75,60,61,69,69
18,60,53,23,24,24,-1,-1,-1,11,-1,-1,-1,-1,-1,53,27,49,47,44,45,66,51,70,66
19,57,59,36,28,21,16,12,10,-1,-1,13,30,-1,40,34,44,47,46,54,68,51,66,51,73
20,45,42,41,40,17,15,22,10,14,24,-1,33,-1,42,36,29,45,65,70,61,61,66,67,67
21,72,37,27,29,21,14,8,7,-1,-1,-1,-1,-1,-1,44,45,53,62,71,53,42,50,-1,60
22,63,17,1,-1,-1,2,1,1,1,-1,-1,1,-1,-1,-1,49,48,60,63,70,57,56,59,59
23,1,1,-1,-1,2,-1,1,1,-1,6,5,14,-1,-1,-1,-1,42,-1,-1,4,3,2,2,1
24,76,52,48,27,-1,-1,-1,6,-1,6,-1,21,58,31,35,44,62,50,54,52,84,71,-1,89
25,60,54,38,25,13,17,16,10,-1,10,24,-1,-1,-1,56,44,57,38,50,42,51,48,77,66
26,57,-1,54,50,14,-1,-1,-1,-1,11,15,30,24,35,53,51,42,51,32,70,23,16,73,68
27,43,62,33,23,17,11,10,13,7,9,9,36,29,49,30,42,36,46,57,47,33,49,54,43
28,53,41,24,20,10,11,11,11,2,12,14,25,38,41,27,23,26,34,42,43,41,24,52,49
29,50,43,27,26,14,10,8,5,5,8,10,17,26,43,45,29,28,24,34,36,28,42,47,51
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
